_id,name,calories,category,type,protein,carbs,fat
6814ba437371456578a76bc2,Tofu Stir Fry,200,dinner,vegan,15,10,8
6814ba437371456578a76bc3,Chickpea Salad,180,lunch,vegan,10,25,5
6814ba437371456578a76bc4,Vegetable Curry,220,dinner,veg,5,35,10
6814ba437371456578a76bc5,Grilled Cheese Sandwich,300,lunch,veg,12,30,15
6814ba437371456578a76bc6,Lentil Soup,150,dinner,vegan,12,20,3
6814ba437371456578a76bc7,Vegetable Stir Fry,200,dinner,veg,8,30,5
6814ba437371456578a76bc8,Quinoa Salad,210,lunch,vegan,8,35,7
6814ba437371456578a76bc9,Black Bean Tacos,250,dinner,vegan,15,35,6
6814ba437371456578a76bca,Eggplant Parmesan,320,dinner,veg,18,40,15
6814ba437371456578a76bcb,Chicken Alfredo,500,dinner,nonveg,30,45,25
6814ba437371456578a76bcc,Beef Stir Fry,400,dinner,nonveg,35,20,20
6814ba437371456578a76bcd,Salmon with Asparagus,450,dinner,nonveg,40,15,25
6814ba437371456578a76bce,Mushroom Risotto,350,lunch,veg,12,50,10
6814ba437371456578a76bcf,Vegetable Pizza,400,lunch,veg,15,50,18
6814ba437371456578a76bd0,Pasta Primavera,300,dinner,veg,10,60,7
6814ba437371456578a76bd1,Tofu Scramble,220,breakfast,vegan,18,12,10
6814ba437371456578a76bd2,Stuffed Bell Peppers,350,lunch,veg,15,40,15
6814ba437371456578a76bd3,Veggie Burger,300,dinner,vegan,20,30,12
6814ba437371456578a76bd4,Shrimp Fried Rice,450,dinner,nonveg,30,50,15
6814ba437371456578a76bd5,Paneer Tikka,400,dinner,veg,25,30,20
6814ba437371456578a76bd6,Chicken Salad,350,lunch,nonveg,30,15,20
6814ba437371456578a76bd7,Falafel Wrap,400,lunch,vegan,15,50,15
6814ba437371456578a76bd8,Spaghetti with Tomato Sauce,350,dinner,veg,12,60,5
6814ba437371456578a76bd9,Vegetable Samosas,180,snack,veg,5,25,10
6814ba437371456578a76bda,Chili Con Carne,400,dinner,nonveg,30,25,20
6814ba437371456578a76bdb,Apple Quinoa Bowl,300,breakfast,vegan,10,55,5
6814ba437371456578a76bdc,Vegetable Lasagna,450,dinner,veg,25,60,18
6814ba437371456578a76bdd,Chicken Tacos,320,dinner,nonveg,25,30,10
6814ba437371456578a76bde,Peanut Butter Banana Smoothie,350,snack,vegan,10,40,15
6814ba437371456578a76bdf,Vegetable Kebab,250,lunch,vegan,12,30,10
6814ba437371456578a76be0,Cheese Quesadilla,400,snack,veg,15,35,20
6814ba437371456578a76be1,BBQ Chicken Wings,500,dinner,nonveg,35,20,30
6814ba437371456578a76be2,Sweet Potato Fries,200,snack,vegan,5,35,8
6814ba437371456578a76be3,Vegetarian Sushi,250,lunch,veg,8,50,5
6814ba437371456578a76be4,Fish Tacos,370,dinner,nonveg,25,30,15
6814ba437371456578a76be5,Couscous Salad,240,lunch,vegan,8,40,6
6814ba437371456578a76be6,Zucchini Noodles,150,dinner,vegan,5,7,5
6814ba437371456578a76be7,Spinach and Ricotta Tortellini,400,dinner,veg,20,55,18
6814ba437371456578a76be8,Thai Green Curry with Chicken,480,dinner,nonveg,35,40,22
6814ba437371456578a76be9,Falafel Bowl,500,lunch,vegan,18,55,20
6814ba437371456578a76bea,Shrimp Caesar Salad,400,lunch,nonveg,30,25,20
6814ba437371456578a76beb,Creamy Tomato Soup,180,snack,veg,4,25,7
6814ba437371456578a76bec,Vegetable Ramen,220,dinner,vegan,10,35,8
6814ba437371456578a76bed,Pork Chop with Applesauce,480,dinner,nonveg,40,20,28
6814ba437371456578a76bee,Caprese Salad,250,lunch,veg,12,10,18
6814ba437371456578a76bef,Vegan Chili,280,dinner,vegan,15,40,5
6814ba437371456578a76bf0,Meatloaf with Mashed Potatoes,500,dinner,nonveg,30,55,25
6814ba437371456578a76bf1,Tofu Stir Fry 1,397,dinner,vegan,29,16,13
6814ba437371456578a76bf2,Avocado Toast 2,226,breakfast,veg,30,43,24
6814ba437371456578a76bf3,Chicken Biryani 3,363,lunch,veg,38,21,10
6814ba437371456578a76bf4,Vegan Burrito 4,411,breakfast,vegan,36,40,10
6814ba437371456578a76bf5,Chickpea Curry 5,493,lunch,veg,36,19,15
6814ba437371456578a76bf6,Egg Salad 6,447,breakfast,nonveg,24,21,21
6814ba437371456578a76bf7,Vegan Burrito 7,294,dinner,nonveg,34,24,13
6814ba437371456578a76bf8,Egg Salad 8,435,lunch,vegan,10,19,11
6814ba437371456578a76bf9,Beef Steak 9,204,dinner,nonveg,24,17,25
6814ba437371456578a76bfa,Grilled Salmon 10,493,dinner,vegan,40,40,22
